gene_id	baseMn	l2fc	lfcSE	pval	padj
ARL17A	1.04E+02	0.48	0.33	1.39E-01	1.00E+00
ARL17B	1.34E+02	0.07	0.12	5.25E-01	1.00E+00
ARL2BP	2.97E+02	0.08	0.12	4.88E-01	1.00E+00
ARL4A	2.26E+02	0.21	0.13	9.56E-02	1.00E+00
ARL4C	2.05E+02	0.14	0.19	4.57E-01	1.00E+00
ARL4D	6.98E+01	0.09	0.2	6.61E-01	1.00E+00
ARL5A	4.69E+02	0.09	0.1	3.45E-01	1.00E+00
ARL5B	6.25E+02	0.12	0.11	2.73E-01	1.00E+00
ARL6IP1	1.49E+03	0.02	0.09	8.26E-01	1.00E+00
ARL6IP6	1.98E+02	0.01	0.09	9.12E-01	1.00E+00
ARMC1	4.09E+02	0.07	0.12	5.50E-01	1.00E+00
ARMC3	1.04E+00	0.16	1.37	9.09E-01	1.00E+00
ARMC5	8.53E+01	0.17	0.17	2.95E-01	1.00E+00
ARMC8	3.27E+02	0.11	0.1	2.78E-01	1.00E+00
ARMCX3	3.72E+03	0.07	0.07	3.54E-01	1.00E+00
ARMCX5-GPRASP2	8.23E+01	0.34	0.4	3.90E-01	1.00E+00
ARMH1	4.43E-01	0.6	1.99	7.65E-01	1.00E+00
ARMH4	1.16E+02	0.09	0.16	5.64E-01	1.00E+00
ARNT2	1.88E+01	0.33	0.3	2.75E-01	1.00E+00
ARNTL2	1.56E+02	0.2	0.12	1.03E-01	1.00E+00
ARPC1A	9.80E+02	0.05	0.08	5.12E-01	1.00E+00
ARPC1B	8.01E+02	0.03	0.12	8.23E-01	1.00E+00
ARPC4	9.05E+02	0.05	0.1	5.99E-01	1.00E+00
ARPIN	2.48E+02	0.07	0.09	4.43E-01	1.00E+00
ARPP19	1.88E+03	0.07	0.07	3.55E-01	1.00E+00
ARR3	8.56E-01	0.41	1.41	7.71E-01	1.00E+00
ARRB2	4.89E+01	0.02	0.16	8.76E-01	1.00E+00
ARRDC3	1.65E+03	0.05	0.12	6.94E-01	1.00E+00
ARRDC4	1.10E+02	0.02	0.13	8.56E-01	1.00E+00
ARSA	9.89E+01	0.22	0.14	9.92E-02	1.00E+00
ARSG	5.39E+01	0.33	0.19	8.04E-02	1.00E+00
ARSJ	7.20E+01	0.07	0.24	7.67E-01	1.00E+00
ART4	1.93E+02	0.06	0.17	7.06E-01	1.00E+00
ARV1	4.10E+01	0.27	0.22	2.07E-01	1.00E+00
ASAP1	9.49E+02	0.04	0.1	7.01E-01	1.00E+00
ASB1	3.35E+02	0.18	0.1	7.22E-02	1.00E+00
ASB11	1.86E+00	2.58	1.03	1.18E-02	1.00E+00
