gene_id	baseMn	l2fc	lfcSE	pval	padj
CDK6	7.79E+02	0.15	0.11	1.91E-01	1.00E+00
CDK8	1.04E+02	0.13	0.13	3.49E-01	1.00E+00
CDK9	6.39E+02	0.06	0.08	4.02E-01	1.00E+00
CDKL1	6.29E+01	0.31	0.21	1.40E-01	1.00E+00
CDKN1A	3.41E+02	0.04	0.1	7.03E-01	1.00E+00
CDKN1B	4.75E+02	0.08	0.09	4.06E-01	1.00E+00
CDKN1C	5.08E+01	0.08	0.19	6.56E-01	1.00E+00
CDKN2AIP	1.73E+02	0.13	0.11	2.18E-01	1.00E+00
CDKN2B	1.03E+02	0.01	0.14	9.34E-01	1.00E+00
CDKN2C	2.00E+00	0.23	0.87	7.87E-01	1.00E+00
CDKN2D	2.26E+01	0.02	0.26	9.51E-01	1.00E+00
CDON	6.93E+01	0.17	0.16	2.92E-01	1.00E+00
CDPF1	4.03E+01	0.16	0.21	4.65E-01	1.00E+00
CDRT4	5.92E-01	2.87	2.15	1.81E-01	1.00E+00
CDS2	1.22E+03	0.13	0.09	1.18E-01	1.00E+00
CDT1	5.76E+01	0.01	0.21	9.55E-01	1.00E+00
CDV3	3.45E+03	0.04	0.07	5.70E-01	1.00E+00
CDX1	3.99E-01	1.37	2.19	5.32E-01	1.00E+00
CEACAM19	4.79E+00	0.77	0.55	1.57E-01	1.00E+00
CEACAM5	1.17E+00	0.86	1.15	4.53E-01	1.00E+00
CEACAM8	1.79E+00	1.53	0.9	8.96E-02	1.00E+00
CEBPA	8.49E-01	1.32	1.39	3.40E-01	1.00E+00
CEBPB	6.01E+01	0.29	0.19	1.38E-01	1.00E+00
CEBPD	1.04E+01	0.16	0.48	7.34E-01	1.00E+00
CEBPG	7.56E+02	0.07	0.08	3.99E-01	1.00E+00
CEBPZ	9.58E+02	0.02	0.08	7.90E-01	1.00E+00
CEL	5.45E+00	0.25	0.53	6.37E-01	1.00E+00
CELF1	6.84E+02	0.06	0.09	4.92E-01	1.00E+00
CELF2	3.83E+02	0.05	0.11	6.58E-01	1.00E+00
CELSR3	5.79E+01	0.03	0.2	8.85E-01	1.00E+00
CEMIP2	8.90E+03	0.02	0.07	7.31E-01	1.00E+00
CEMP1	1.53E+00	0.92	2.96	7.56E-01	1.00E+00
CENATAC	3.64E+01	0.22	0.23	3.32E-01	1.00E+00
CENPC	1.24E+02	0.01	0.13	9.67E-01	1.00E+00
CENPI	2.14E+02	0.02	0.08	8.33E-01	1.00E+00
CENPJ	2.13E+02	0.06	0.09	4.76E-01	1.00E+00
CENPM	5.86E+00	0.32	0.58	5.88E-01	1.00E+00
CENPT	2.89E+02	0.07	0.1	5.14E-01	1.00E+00
CENPVL1	5.49E-01	1.36	1.5	3.64E-01	1.00E+00
CENPVL2	5.49E-01	1.36	1.5	3.64E-01	1.00E+00
CENPW	1.17E+02	0.06	0.17	7.11E-01	1.00E+00
CENPX	8.70E+01	0.02	0.15	8.72E-01	1.00E+00
CEP120	2.05E+02	0.11	0.09	2.34E-01	1.00E+00
CEP126	9.41E+01	0.02	0.14	8.63E-01	1.00E+00
CEP128	9.27E+01	0.1	0.18	5.69E-01	1.00E+00
CEP135	3.74E+02	0.01	0.1	9.01E-01	1.00E+00
CEP19	1.30E+02	0.05	0.13	6.79E-01	1.00E+00
CEP192	1.27E+02	0.01	0.14	9.70E-01	1.00E+00
CEP20	1.40E+02	0.01	0.14	9.32E-01	1.00E+00
CEP290	4.43E+02	0.05	0.12	6.45E-01	1.00E+00
CEP350	4.16E+02	0.04	0.12	7.56E-01	1.00E+00
CEP41	1.41E+02	0.08	0.12	4.67E-01	1.00E+00
CEP43	1.93E+02	0.16	0.12	1.80E-01	1.00E+00
CEP44	9.89E+01	0.02	0.13	8.54E-01	1.00E+00
CEP57L1	1.69E+02	0.18	0.14	2.01E-01	1.00E+00
CEP68	3.37E+02	0.05	0.12	7.03E-01	1.00E+00
CEP70	7.86E+01	0.19	0.15	2.00E-01	1.00E+00
CEP78	3.12E+02	0.03	0.1	7.40E-01	1.00E+00
CEP83	1.28E+02	0.09	0.14	5.37E-01	1.00E+00
CEP85L	2.48E+02	0.1	0.13	4.53E-01	1.00E+00
CEP89	3.17E+02	0.12	0.1	2.46E-01	1.00E+00
CEP97	1.13E+02	0.08	0.14	5.87E-01	1.00E+00
CERS1	1.05E+02	0.04	0.16	8.07E-01	1.00E+00
CERS2	7.91E+02	0.1	0.09	2.76E-01	1.00E+00
CERS4	2.43E+01	0.38	0.22	8.38E-02	1.00E+00
CERS6	6.82E+02	0.1	0.1	2.84E-01	1.00E+00
CES3	8.65E+00	0.55	0.53	3.00E-01	1.00E+00
CES4A	1.45E+00	1.41	1.12	2.10E-01	1.00E+00
CFAP157	6.98E+00	1.06	0.49	3.16E-02	1.00E+00
CFAP161	2.53E+01	0.02	0.3	9.51E-01	1.00E+00
CFAP206	1.47E+00	0.46	0.99	6.41E-01	1.00E+00
CFAP20DC	1.66E+01	0.14	0.29	6.15E-01	1.00E+00
CFAP251	5.50E+00	0.09	0.47	8.51E-01	1.00E+00
CFAP36	1.48E+02	0.02	0.15	8.84E-01	1.00E+00
CFAP45	1.42E+02	0.03	0.19	8.75E-01	1.00E+00
CFAP46	9.66E+00	0.06	0.39	8.69E-01	1.00E+00
CFAP47	9.83E-01	2.8	1.5	6.13E-02	1.00E+00
CFAP53	5.59E+00	0.48	0.59	4.19E-01	1.00E+00
CFAP57	9.04E-01	0.49	1.3	7.05E-01	1.00E+00
CFAP73	5.93E-01	1.05	1.61	5.12E-01	1.00E+00
CFAP97	1.80E+02	0.03	0.12	8.11E-01	1.00E+00
CFAP97D1	3.92E+00	0.31	0.7	6.59E-01	1.00E+00
CFC1	4.94E-01	0.14	1.97	9.45E-01	1.00E+00
CFH	5.39E+00	0.63	0.53	2.30E-01	1.00E+00
CFHR3	5.89E-01	0.94	1.76	5.94E-01	1.00E+00
CFI	1.57E+00	0.19	1.09	8.63E-01	1.00E+00
CFL2	4.19E+02	0.15	0.11	1.77E-01	1.00E+00
CFLAR	9.67E+02	0.04	0.1	6.75E-01	1.00E+00
CFTR	4.32E-01	0.44	2	8.25E-01	1.00E+00
CGAS	3.15E+00	0.15	0.65	8.20E-01	1.00E+00
CGGBP1	5.81E+02	0.05	0.08	5.38E-01	1.00E+00
CHADL	1.94E+00	0.82	0.92	3.76E-01	1.00E+00
CHAMP1	3.37E+02	0.02	0.08	7.96E-01	1.00E+00
CHCHD10	4.71E+00	0.12	0.62	8.41E-01	1.00E+00
CHCHD3	4.80E+02	0.02	0.09	8.18E-01	1.00E+00
CHCHD6	4.39E+01	0.07	0.22	7.46E-01	1.00E+00
CHD5	1.36E+00	0.01	0.98	9.92E-01	1.00E+00
CHD7	2.33E+03	0.02	0.12	8.92E-01	1.00E+00
CHDH	9.02E+00	0.62	0.46	1.78E-01	1.00E+00
CHEK2	1.16E+02	0.1	0.12	3.95E-01	1.00E+00
CHERP	2.47E+02	0.02	0.1	8.67E-01	1.00E+00
CHFR	3.64E+02	0.05	0.1	5.99E-01	1.00E+00
CHIC1	1.12E+02	0.07	0.13	5.96E-01	1.00E+00
CHID1	2.48E+02	0.05	0.12	6.97E-01	1.00E+00
CHL1	1.66E+00	0.58	1.23	6.38E-01	1.00E+00
CHM	2.95E+02	0.12	0.08	1.38E-01	1.00E+00
CHMP1A	6.97E+02	0.07	0.09	4.35E-01	1.00E+00
CHMP2B	3.89E+02	0.08	0.1	4.33E-01	1.00E+00
CHMP3	1.20E+03	0.02	0.08	8.27E-01	1.00E+00
CHMP4C	8.18E+00	0.34	0.44	4.43E-01	1.00E+00
CHORDC1	1.14E+03	0.09	0.1	3.86E-01	1.00E+00
CHP1	4.86E+02	0.03	0.08	7.14E-01	1.00E+00
CHP2	2.89E+00	0.22	0.83	7.89E-01	1.00E+00
CHPF	3.18E+00	0.09	0.74	9.05E-01	1.00E+00
CHPT1	1.43E+02	0.12	0.15	4.09E-01	1.00E+00
CHRAC1	1.51E+02	0.03	0.14	8.01E-01	1.00E+00
CHRDL1	6.24E+00	0.79	0.52	1.26E-01	1.00E+00
CHRM2	1.07E+00	0.87	1.49	5.60E-01	1.00E+00
CHRM5	4.64E-01	0.44	2.15	8.38E-01	1.00E+00
CHRNA3	1.32E+00	1.25	1.17	2.85E-01	1.00E+00
CHRNA5	3.93E+01	0.02	0.28	9.54E-01	1.00E+00
CHRNA7	2.20E+01	0.64	0.37	8.41E-02	1.00E+00
CHRNE	1.94E+00	0.91	1.16	4.30E-01	1.00E+00
CHST11	3.36E+02	0.14	0.12	2.62E-01	1.00E+00
CHST12	2.06E+02	0.06	0.12	6.02E-01	1.00E+00
CHST14	7.29E+01	0.05	0.14	7.18E-01	1.00E+00
CHST15	4.45E+02	0.09	0.08	2.44E-01	1.00E+00
CHST2	1.28E+02	0.04	0.15	7.90E-01	1.00E+00
CHST3	3.65E+02	0.07	0.09	4.35E-01	1.00E+00
CHST5	1.18E+00	1.3	1.14	2.53E-01	1.00E+00
CHST7	6.57E+01	0.12	0.2	5.59E-01	1.00E+00
CHST9	3.70E+00	0.47	0.65	4.68E-01	1.00E+00
CHSY1	7.99E+02	0.11	0.09	2.39E-01	1.00E+00
CHTF18	4.50E+01	0.17	0.22	4.42E-01	1.00E+00
CHTOP	2.18E+02	0.03	0.12	7.92E-01	1.00E+00
CHUK	2.18E+02	0.09	0.11	3.75E-01	1.00E+00
CHURC1-FNTB	8.69E+01	0.14	0.16	3.99E-01	1.00E+00
CIART	3.82E+00	0.31	0.7	6.53E-01	1.00E+00
CIB1	8.76E+01	0.2	0.18	2.60E-01	1.00E+00
CIB2	2.96E+01	0.11	0.23	6.23E-01	1.00E+00
CIBAR2	8.17E-01	1.48	1.17	2.05E-01	1.00E+00
CIDEA	9.86E-01	2.84	1.39	4.09E-02	1.00E+00
CIITA	1.19E+01	0.09	0.33	7.83E-01	1.00E+00
CILK1	1.20E+02	0.04	0.13	7.46E-01	1.00E+00
CIP2A	1.58E+02	0.03	0.11	8.10E-01	1.00E+00
CIPC	3.70E+02	0.03	0.12	7.78E-01	1.00E+00
CIRBP	1.86E+03	0.09	0.09	2.89E-01	1.00E+00
CISD1	1.35E+02	0.01	0.12	9.25E-01	1.00E+00
CISD3	3.99E+01	0.37	0.28	1.96E-01	1.00E+00
CISH	1.78E+00	1.45	0.87	9.68E-02	1.00E+00
CITED2	3.57E+02	0.03	0.11	8.05E-01	1.00E+00
CITED4	2.11E+00	0.06	0.98	9.55E-01	1.00E+00
CIZ1	7.99E+02	0.03	0.09	7.48E-01	1.00E+00
CKAP2	6.40E+02	0.01	0.12	9.10E-01	1.00E+00
CKAP5	1.32E+03	0.02	0.09	8.54E-01	1.00E+00
CKLF	7.75E+01	0.01	0.14	9.26E-01	1.00E+00
CKMT1A	6.13E-01	1.26	1.55	4.15E-01	1.00E+00
CKMT1B	6.13E-01	1.26	1.55	4.15E-01	1.00E+00
CKS1B	3.89E+02	0.09	0.17	6.13E-01	1.00E+00
CKS2	4.85E+01	0.13	0.15	4.05E-01	1.00E+00
CLASP1	7.91E+02	0.01	0.1	9.06E-01	1.00E+00
CLBA1	2.64E+01	0.15	0.26	5.70E-01	1.00E+00
CLCC1	5.03E+02	0.11	0.08	1.58E-01	1.00E+00
CLCF1	1.10E+01	0.06	0.37	8.63E-01	1.00E+00
CLCN3	2.13E+03	0.03	0.08	7.41E-01	1.00E+00
CLCN4	2.17E+02	0.03	0.13	8.14E-01	1.00E+00
CLDN1	1.60E+00	0.06	1.06	9.55E-01	1.00E+00
CLDN11	1.04E+00	0.02	1.21	9.89E-01	1.00E+00
CLDN12	2.02E+02	0.1	0.12	4.18E-01	1.00E+00
CLDN15	1.04E+01	0.46	0.41	2.59E-01	1.00E+00
CLDN16	1.25E+00	3.28	1.38	1.76E-02	1.00E+00
CLDN18	2.03E+00	0.12	0.83	8.84E-01	1.00E+00
CLDN4	1.82E+00	0.02	1.1	9.84E-01	1.00E+00
CLDN7	1.97E+01	0.08	0.29	7.83E-01	1.00E+00
CLDND1	6.52E+02	0.03	0.1	7.29E-01	1.00E+00
CLDND2	7.49E-01	0.49	1.41	7.31E-01	1.00E+00
CLEC12B	6.16E-01	0.61	1.58	6.99E-01	1.00E+00
CLEC14A	7.01E+03	0.01	0.08	9.38E-01	1.00E+00
CLEC17A	1.51E+00	2.81	1.25	2.52E-02	1.00E+00
CLEC18B	4.19E-01	0.83	1.84	6.52E-01	1.00E+00
CLEC19A	9.75E-01	0.47	1.05	6.54E-01	1.00E+00
CLEC1A	1.15E+02	0.08	0.18	6.71E-01	1.00E+00
CLEC1B	1.55E+00	0.09	1.05	9.29E-01	1.00E+00
CLEC2B	6.80E+01	0.01	0.2	9.55E-01	1.00E+00
CLEC2D	4.50E+01	0.21	0.2	2.91E-01	1.00E+00
CLEC9A	5.54E-01	1.42	1.4	3.10E-01	1.00E+00
CLGN	1.36E+02	0.04	0.12	7.25E-01	1.00E+00
CLHC1	5.76E+01	0.11	0.18	5.25E-01	1.00E+00
CLIC1	2.69E+03	0.17	0.13	1.89E-01	1.00E+00
CLIC4	4.10E+03	0.06	0.1	5.34E-01	1.00E+00
CLINT1	1.31E+03	0.01	0.08	9.05E-01	1.00E+00
CLIP3	7.90E+01	0.03	0.18	8.50E-01	1.00E+00
CLK1	3.15E+02	0.03	0.1	7.56E-01	1.00E+00
CLK3	1.10E+02	0.06	0.16	7.14E-01	1.00E+00
CLK4	7.08E+01	0.07	0.16	6.64E-01	1.00E+00
CLMN	9.20E+00	0.64	0.42	1.29E-01	1.00E+00
CLMP	1.23E+01	0.31	0.41	4.53E-01	1.00E+00
CLN5	1.65E+02	0.09	0.1	3.80E-01	1.00E+00
CLN8	1.30E+02	0.06	0.13	6.33E-01	1.00E+00
CLNK	7.84E-01	0.78	1.35	5.63E-01	1.00E+00
CLNS1A	4.99E+02	0.03	0.11	7.74E-01	1.00E+00
CLOCK	4.82E+02	0.07	0.1	4.80E-01	1.00E+00
CLPTM1L	7.74E+02	0.11	0.07	1.12E-01	1.00E+00
CLTRN	1.92E+00	0.54	0.89	5.45E-01	1.00E+00
CLUAP1	2.07E+02	0.08	0.11	4.93E-01	1.00E+00
CLUH	3.52E+02	0.1	0.1	3.35E-01	1.00E+00
CLVS1	9.60E-01	0.37	1.36	7.84E-01	1.00E+00
CLVS2	8.22E-01	0.93	1.31	4.77E-01	1.00E+00
CLYBL	2.35E+01	0.49	0.28	8.26E-02	1.00E+00
CMA1	9.95E-01	3.21	1.52	3.47E-02	1.00E+00
CMC1	1.02E+02	0.03	0.13	8.18E-01	1.00E+00
CMC4	7.98E+01	0.09	0.18	6.36E-01	1.00E+00
CMIP	2.14E+02	0.17	0.11	1.34E-01	1.00E+00
CMKLR2	7.11E+00	0.59	0.43	1.63E-01	1.00E+00
CMPK1	1.48E+03	0.08	0.1	4.29E-01	1.00E+00
CMPK2	1.16E+01	0.31	0.34	3.66E-01	1.00E+00
CMSS1	1.97E+02	0.06	0.11	6.13E-01	1.00E+00
CMTM3	4.56E+02	0.08	0.13	5.47E-01	1.00E+00
CMTM4	7.69E+01	0.25	0.16	1.18E-01	1.00E+00
CMTM6	1.16E+03	0.05	0.11	6.24E-01	1.00E+00
CMTM7	2.75E+01	0.09	0.28	7.50E-01	1.00E+00
CMTM8	1.12E+01	0.54	0.3	7.62E-02	1.00E+00
CMTR1	3.38E+02	0.04	0.09	6.50E-01	1.00E+00
CNBD2	3.26E+00	0.13	0.75	8.58E-01	1.00E+00
CNBP	2.34E+03	0.03	0.08	6.68E-01	1.00E+00
CNGA1	2.51E+00	0.79	0.83	3.43E-01	1.00E+00
CNGB1	9.28E-01	2.51	1.36	6.57E-02	1.00E+00
CNIH1	8.30E+02	0.04	0.12	7.23E-01	1.00E+00
CNIH3	1.40E+01	0.22	0.35	5.33E-01	1.00E+00
CNKSR1	5.84E-01	0.07	1.76	9.67E-01	1.00E+00
CNKSR2	8.39E+00	0.25	0.43	5.55E-01	1.00E+00
CNMD	2.19E+00	0.09	0.72	8.98E-01	1.00E+00
CNN1	2.13E+01	0.04	0.3	9.03E-01	1.00E+00
CNN2	2.09E+03	0.09	0.07	1.63E-01	1.00E+00
CNN3	3.80E+03	0.01	0.08	9.36E-01	1.00E+00
CNNM1	3.15E+00	0.16	0.84	8.46E-01	1.00E+00
CNNM3	9.84E+01	0.06	0.13	6.28E-01	1.00E+00
CNNM4	1.11E+02	0.07	0.11	5.37E-01	1.00E+00
CNOT6	5.50E+02	0.04	0.08	6.07E-01	1.00E+00
CNOT6L	4.13E+02	0.01	0.11	9.00E-01	1.00E+00
CNOT8	5.82E+02	0.02	0.09	7.89E-01	1.00E+00
CNP	3.96E+02	0.03	0.09	7.38E-01	1.00E+00
CNPPD1	2.80E+02	0.06	0.1	5.77E-01	1.00E+00
CNR2	4.38E+00	0.87	0.63	1.71E-01	1.00E+00
CNTFR	3.03E+00	0.28	0.67	6.73E-01	1.00E+00
CNTN3	4.94E+00	0.12	0.63	8.51E-01	1.00E+00
CNTN5	6.57E-01	1.01	1.57	5.18E-01	1.00E+00
CNTNAP2	3.64E+02	0.06	0.13	6.44E-01	1.00E+00
CNTNAP3	3.74E+01	0.24	0.32	4.61E-01	1.00E+00
COA3	2.01E+02	0.04	0.12	7.51E-01	1.00E+00
COA4	2.33E+02	0.04	0.12	7.07E-01	1.00E+00
COA7	2.03E+02	0.05	0.12	6.76E-01	1.00E+00
COA8	1.60E+02	0.03	0.11	8.05E-01	1.00E+00
COBL	9.50E-01	1.76	2.52	4.85E-01	1.00E+00
COG1	1.15E+02	0.04	0.15	8.08E-01	1.00E+00
COG3	1.80E+02	0.12	0.1	2.29E-01	1.00E+00
COG4	1.91E+02	0.02	0.14	8.68E-01	1.00E+00
COG6	2.13E+02	0.06	0.1	5.50E-01	1.00E+00
COG7	4.38E+01	0.11	0.2	5.93E-01	1.00E+00
COG8	9.94E+01	0.07	0.17	6.90E-01	1.00E+00
COIL	3.17E+02	0.03	0.09	7.79E-01	1.00E+00
COL11A2	1.72E+01	0.04	0.27	8.71E-01	1.00E+00
COL12A1	1.20E+01	0.25	0.4	5.34E-01	1.00E+00
COL13A1	6.38E+01	0.1	0.22	6.32E-01	1.00E+00
COL18A1	2.16E+03	0.02	0.08	8.46E-01	1.00E+00
COL1A1	4.92E+01	0.04	0.19	8.44E-01	1.00E+00
COL21A1	3.85E+00	0.79	0.57	1.67E-01	1.00E+00
COL22A1	1.34E+00	2.64	1.12	1.86E-02	1.00E+00
COL25A1	1.28E+03	0.05	0.12	6.38E-01	1.00E+00
COL26A1	1.68E+01	0.3	0.37	4.23E-01	1.00E+00
COL27A1	3.96E+02	0.15	0.17	3.80E-01	1.00E+00
COL2A1	2.45E+01	0.02	0.3	9.40E-01	1.00E+00
COL4A3	4.22E-01	1.92	2.15	3.70E-01	1.00E+00
COL4A4	4.53E+00	0.12	0.6	8.48E-01	1.00E+00
COL4A6	1.12E+02	0.22	0.17	1.84E-01	1.00E+00
COL5A3	9.51E+01	0.37	0.18	4.73E-02	1.00E+00
COL6A3	5.02E+00	0.07	0.48	8.85E-01	1.00E+00
COL7A1	3.60E+01	0.11	0.34	7.48E-01	1.00E+00
COL8A1	7.53E+00	0.51	0.41	2.21E-01	1.00E+00
COL9A1	3.33E+00	0.58	0.68	3.90E-01	1.00E+00
COL9A2	1.12E+02	0.15	0.17	3.76E-01	1.00E+00
COL9A3	9.86E-01	0.77	1.21	5.27E-01	1.00E+00
COLCA2	4.98E-01	0.76	1.79	6.70E-01	1.00E+00
COLEC10	2.10E+01	0.24	0.33	4.72E-01	1.00E+00
COLGALT1	1.25E+03	0.07	0.08	3.69E-01	1.00E+00
COLGALT2	3.82E+01	0.19	0.2	3.29E-01	1.00E+00
COLQ	2.90E+00	1.09	0.71	1.25E-01	1.00E+00
COMMD2	4.10E+02	0.06	0.08	4.32E-01	1.00E+00
COMMD3-BMI1	3.56E+02	0.11	0.12	3.74E-01	1.00E+00
COMMD6	2.53E+02	0.04	0.13	7.76E-01	1.00E+00
COMMD8	8.78E+01	0.05	0.16	7.46E-01	1.00E+00
COMMD9	9.16E+01	0.07	0.17	6.88E-01	1.00E+00
COPG1	9.52E+02	0.01	0.07	8.70E-01	1.00E+00
COPG2	2.77E+02	0.07	0.09	4.71E-01	1.00E+00
COPS2	8.09E+02	0.05	0.1	6.04E-01	1.00E+00
COPS3	3.95E+02	0.04	0.1	6.61E-01	1.00E+00
COPS5	3.04E+02	0.04	0.07	6.17E-01	1.00E+00
COPS7B	1.71E+02	0.03	0.13	8.00E-01	1.00E+00
COPZ2	1.47E+01	0.39	0.39	3.20E-01	1.00E+00
COQ10B	1.37E+02	0.18	0.12	1.17E-01	1.00E+00
COQ2	1.11E+02	0.04	0.16	7.87E-01	1.00E+00
COQ7	2.37E+02	0.01	0.11	9.52E-01	1.00E+00
COQ8A	4.22E+01	0.19	0.16	2.59E-01	1.00E+00
COQ8B	3.96E+01	0.11	0.22	6.26E-01	1.00E+00
COQ9	1.77E+02	0.02	0.11	8.50E-01	1.00E+00
CORIN	2.28E+00	0.51	0.87	5.58E-01	1.00E+00
CORO1A	5.71E+00	0.88	0.51	8.24E-02	1.00E+00
CORO1C	5.04E+03	0.04	0.07	5.49E-01	1.00E+00
CORO2A	1.36E+01	0.13	0.38	7.43E-01	1.00E+00
CORO2B	5.90E+01	0.13	0.18	4.79E-01	1.00E+00
CORO6	9.16E+00	0.13	0.52	8.02E-01	1.00E+00
CORO7	1.07E+02	0.13	0.3	6.67E-01	1.00E+00
COTL1	3.34E+03	0.08	0.11	4.49E-01	1.00E+00
COX1	2.84E+03	0.05	0.15	7.46E-01	1.00E+00
COX11	2.55E+02	0.03	0.14	8.50E-01	1.00E+00
COX14	5.17E+01	0.05	0.18	7.78E-01	1.00E+00
COX17	1.34E+02	0.21	0.13	1.21E-01	1.00E+00
COX19	2.16E+02	0.03	0.1	7.81E-01	1.00E+00
COX20	3.11E+02	0.16	0.12	1.98E-01	1.00E+00
COX3	2.72E+03	0.12	0.13	3.63E-01	1.00E+00
COX6A1	2.08E+02	0.06	0.13	6.39E-01	1.00E+00
COX7A2L	1.16E+03	0.06	0.12	5.95E-01	1.00E+00
CPA4	1.65E+00	0.97	1.05	3.56E-01	1.00E+00
CPD	1.56E+03	0.1	0.08	1.81E-01	1.00E+00
CPE	2.14E+02	0.09	0.09	2.98E-01	1.00E+00
CPEB2	6.72E+02	0.21	0.15	1.65E-01	1.00E+00
CPEB3	3.20E+01	0.45	0.24	6.11E-02	1.00E+00
CPEB4	1.63E+02	0.09	0.14	5.35E-01	1.00E+00
CPED1	6.01E+00	0.19	0.5	7.05E-01	1.00E+00
CPLANE1	2.40E+02	0.02	0.12	8.87E-01	1.00E+00
CPN2	2.54E+00	0.47	0.74	5.22E-01	1.00E+00
CPNE1	2.27E+02	0.27	0.16	9.53E-02	1.00E+00
CPNE2	4.55E+02	0.08	0.11	4.73E-01	1.00E+00
CPNE3	5.78E+02	0.08	0.09	3.97E-01	1.00E+00
CPNE5	2.36E+01	0.09	0.29	7.52E-01	1.00E+00
CPNE8	3.51E+02	0.15	0.1	1.27E-01	1.00E+00
CPOX	4.01E+02	0.06	0.1	5.64E-01	1.00E+00
CPS1	1.51E+01	0.04	0.33	8.91E-01	1.00E+00
CPSF2	9.35E+02	0.05	0.08	5.21E-01	1.00E+00
CPSF4	9.05E+01	0.14	0.15	3.28E-01	1.00E+00
CPT1A	9.32E+01	0.14	0.21	5.00E-01	1.00E+00
CPXM2	5.29E+01	0.02	0.17	9.16E-01	1.00E+00
CRADD	4.59E+01	0.13	0.2	5.01E-01	1.00E+00
CRCP	2.42E+02	0.09	0.11	4.48E-01	1.00E+00
CREB3L2	6.44E+02	0.09	0.11	3.95E-01	1.00E+00
CREB5	1.96E+02	0.12	0.11	2.76E-01	1.00E+00
CREBZF	4.79E+02	0.01	0.11	9.01E-01	1.00E+00
CREG1	1.15E+02	0.05	0.12	6.55E-01	1.00E+00
CREG2	5.68E+01	0.19	0.22	3.91E-01	1.00E+00
CRELD1	1.97E+02	0.06	0.11	5.50E-01	1.00E+00
CRIM1	3.90E+03	0.01	0.08	9.45E-01	1.00E+00
CRISPLD2	4.69E+00	1.22	0.53	2.22E-02	1.00E+00
CRK	1.25E+03	0.05	0.07	4.82E-01	1.00E+00
CRKL	9.04E+02	0.08	0.09	3.86E-01	1.00E+00
CRLS1	2.14E+02	0.25	0.11	2.54E-02	1.00E+00
CRMP1	5.32E+02	0.09	0.06	1.86E-01	1.00E+00
CROCC	2.89E+02	0.03	0.12	8.38E-01	1.00E+00
CRPPA	5.13E+01	0.1	0.17	5.35E-01	1.00E+00
CRTAC1	3.94E+00	0.42	0.61	4.96E-01	1.00E+00
CRTAM	1.37E+00	0.41	0.97	6.71E-01	1.00E+00
CRTC1	2.79E+01	0.04	0.22	8.44E-01	1.00E+00
CRX	1.12E+01	1.01	0.34	2.58E-03	1.00E+00
CRYAA2	7.79E+00	0.39	0.48	4.22E-01	1.00E+00
CRYBB2	1.80E+01	0.05	0.28	8.58E-01	1.00E+00
CRYBG1	8.90E+00	0.31	0.41	4.50E-01	1.00E+00
CRYL1	4.53E+01	0.03	0.19	8.53E-01	1.00E+00
CRYM	1.78E+01	0.44	0.3	1.38E-01	1.00E+00
CRYZ	1.34E+02	0.08	0.12	4.99E-01	1.00E+00
CRYZL2P-SEC16B	5.81E+00	0.07	0.59	9.08E-01	1.00E+00
CS	4.22E+02	0.05	0.09	6.15E-01	1.00E+00
CSAD	1.66E+01	0.42	0.34	2.23E-01	1.00E+00
CSE1L	8.38E+02	0.09	0.1	3.66E-01	1.00E+00
CSF1	1.14E+02	0.03	0.15	8.53E-01	1.00E+00
CSF2RA	4.92E+00	0.82	0.73	2.63E-01	1.00E+00
CSGALNACT1	5.07E+02	0.1	0.13	4.13E-01	1.00E+00
CSKMT	5.78E+00	0.43	0.46	3.43E-01	1.00E+00
CSNK1A1	2.10E+03	0.06	0.09	5.31E-01	1.00E+00
CSNK1D	1.21E+03	0.06	0.07	3.59E-01	1.00E+00
CSNK1E	3.84E+02	0.11	0.09	2.57E-01	1.00E+00
CSNK1G1	3.45E+02	0.01	0.09	9.55E-01	1.00E+00
CSNK1G3	2.94E+02	0.06	0.11	6.03E-01	1.00E+00
CSNK2A2	2.09E+02	0.03	0.11	7.74E-01	1.00E+00
CSNK2A3	2.31E+02	0.12	0.15	4.24E-01	1.00E+00
CSNK2B	1.77E+02	0.22	0.12	8.25E-02	1.00E+00
CSPP1	2.09E+02	0.06	0.1	5.70E-01	1.00E+00
CSRNP1	1.41E+02	0.03	0.18	8.88E-01	1.00E+00
CSRNP2	6.54E+02	0.09	0.07	2.18E-01	1.00E+00
CSRNP3	3.45E+01	0.08	0.23	7.37E-01	1.00E+00
CSRP3	6.44E-01	0.8	1.48	5.91E-01	1.00E+00
CSTF1	1.90E+02	0.18	0.1	5.73E-02	1.00E+00
CSTF3	2.44E+02	0.03	0.13	8.29E-01	1.00E+00
CT45A5	8.18E+00	0.07	0.44	8.71E-01	1.00E+00
CT55	1.41E+00	0.47	0.99	6.33E-01	1.00E+00
CTAGE15	1.65E+00	1.96	2.16	3.65E-01	1.00E+00
CTAGE9	1.60E+00	1.85	1.34	1.67E-01	1.00E+00
CTBP1	5.48E+02	0.05	0.11	6.36E-01	1.00E+00
CTBP2	6.52E+02	0.01	0.09	9.04E-01	1.00E+00
CTC1	6.07E+01	0.01	0.18	9.53E-01	1.00E+00
CTCF	6.83E+02	0.03	0.07	6.46E-01	1.00E+00
CTCFL	1.77E+00	0.41	1.05	6.99E-01	1.00E+00
CTDNEP1	3.00E+02	0.12	0.1	2.18E-01	1.00E+00
